Close,Open,Time,TradedVolume,askClose,bidClose,ema
0.0,0.0,2018-03-12  06:52:00,53,1.23198,1.23192,1.231885
1.23185,1.23185,2018-03-12  06:53:00,276,1.23191,1.23185,1.231885
0.0,0.0,2018-03-12  06:54:00,145,1.23178,1.23172,1.231885
0.0,0.0,2018-03-12  06:55:00,136,1.2318,1.23174,1.231885
1.2319,1.2319,2018-03-12  06:56:00,162,1.23196,1.2319,1.231885
0.0,0.0,2018-03-12  06:57:00,157,1.23203,1.23197,1.231885
0.0,0.0,2018-03-12  06:58:00,138,1.2321,1.23204,1.231885
0.0,0.0,2018-03-12  06:59:00,372,1.23234,1.23228,1.231885
0.0,0.0,2018-03-12  07:00:00,216,1.23244,1.23229,1.231885
1.23195,1.23195,2018-03-12  07:01:00,501,1.23201,1.23195,1.232005
0.0,0.0,2018-03-12  07:02:00,465,1.23213,1.23198,1.232005
0.0,0.0,2018-03-12  07:03:00,115,1.23202,1.23196,1.232005
0.0,0.0,2018-03-12  07:04:00,166,1.23217,1.23211,1.232005
0.0,0.0,2018-03-12  07:05:00,138,1.23212,1.23206,1.232005
0.0,0.0,2018-03-12  07:06:00,152,1.23218,1.23212,1.232005
0.0,0.0,2018-03-12  07:07:00,135,1.23217,1.23202,1.232005
0.0,0.0,2018-03-12  07:08:00,189,1.23213,1.23207,1.232005
0.0,0.0,2018-03-12  07:09:00,437,1.23249,1.23243,1.232005
0.0,0.0,2018-03-12  07:10:00,505,1.23259,1.23253,1.232005
0.0,0.0,2018-03-12  07:11:00,361,1.23265,1.23259,1.232005
0.0,0.0,2018-03-12  07:12:00,393,1.23273,1.23267,1.232005
0.0,0.0,2018-03-12  07:13:00,389,1.23283,1.23277,1.232005
0.0,0.0,2018-03-12  07:14:00,484,1.23262,1.23256,1.232005
0.0,0.0,2018-03-12  07:15:00,525,1.23241,1.23235,1.232005
0.0,0.0,2018-03-12  07:16:00,314,1.23248,1.23242,1.232005
0.0,0.0,2018-03-12  07:17:00,427,1.23277,1.23271,1.232005
0.0,0.0,2018-03-12  07:18:00,297,1.23269,1.23254,1.232005
0.0,0.0,2018-03-12  07:19:00,595,1.23246,1.2324,1.232005
0.0,0.0,2018-03-12  07:20:00,254,1.23234,1.23228,1.232005
0.0,0.0,2018-03-12  07:21:00,880,1.2326,1.23254,1.232005
0.0,0.0,2018-03-12  07:22:00,564,1.23271,1.23265,1.232005
0.0,0.0,2018-03-12  07:23:00,348,1.23271,1.23265,1.232005
